Category,Year,Value
None,1986,2.003000084
None,1987,2.063047616
None,1988,2.101493787
None,1989,2.120321321
None,1990,2.120750938
None,1991,2.103956652
None,1992,2.074056723
None,1993,2.042298747
None,1994,2.011067163
None,1995,1.980333855
None,1996,1.950127676
None,1997,1.920364199
None,1998,1.893436956
None,1999,1.877808329
None,2000,1.874759421
None,2001,1.883464987
None,2002,1.903010894
None,2003,1.932594264
None,2004,1.965394423
None,2005,1.977350376
None,2006,1.964258471
None,2007,1.928013813
None,2008,1.870355857
None,2009,1.792949196
None,2010,1.715407691
None,2011,1.709823456
None,2012,1.789139184
None,2013,1.947503221
None,2014,2.178524903
None,2015,2.474451915
Low,1986,2.263650019
Low,1987,2.245139785
Low,1988,2.229271392
Low,1989,2.215843165
Low,1990,2.204667047
Low,1991,2.195560261
Low,1992,2.187647261
Low,1993,2.178077598
Low,1994,2.166318095
Low,1995,2.152556983
Low,1996,2.136968073
Low,1997,2.11971533
Low,1998,2.102570143
Low,1999,2.091881794
Low,2000,2.088690742
Low,2001,2.092390799
Low,2002,2.102407543
Low,2003,2.118193045
Low,2004,2.132541749
Low,2005,2.119342435
Low,2006,2.07442675
Low,2007,2.000387986
Low,2008,1.899540881
Low,2009,1.773868484
Low,2010,1.648546286
Low,2011,1.616026333
Low,2012,1.693148739
Low,2013,1.872776584
Low,2014,2.147091934
Low,2015,2.50675885
Moderate,1986,2.392241479
Moderate,1987,2.379437154
Moderate,1988,2.366592239
Moderate,1989,2.353837962
Moderate,1990,2.341200151
Moderate,1991,2.328658757
Moderate,1992,2.315476256
Moderate,1993,2.298823141
Moderate,1994,2.278315226
Moderate,1995,2.25431506
Moderate,1996,2.227145615
Moderate,1997,2.197113777
Moderate,1998,2.16875939
Moderate,1999,2.158660087
Moderate,2000,2.169396236
Moderate,2001,2.199208674
Moderate,2002,2.246406452
Moderate,2003,2.30932691
Moderate,2004,2.3773683
Moderate,2005,2.414729785
Moderate,2006,2.415414572
Moderate,2007,2.382720182
Moderate,2008,2.319727583
Moderate,2009,2.22922566
Moderate,2010,2.133615315
Moderate,2011,2.111480897
Moderate,2012,2.175969765
Moderate,2013,2.319818172
Moderate,2014,2.535528385
Moderate,2015,2.814890893
High,1986,2.181630271
High,1987,2.241256462
High,1988,2.2907695
High,1989,2.330787513
High,1990,2.361971576
High,1991,2.384909567
High,1992,2.399313798
High,1993,2.402232736
High,1994,2.393788214
High,1995,2.375003171
High,1996,2.346831866
High,1997,2.310154913
High,1998,2.272080107
High,1999,2.257433654
High,2000,2.270234841
High,2001,2.308070632
High,2002,2.368619491
High,2003,2.44959073
High,2004,2.538583612
High,2005,2.594840553
High,2006,2.611511261
High,2007,2.592319599
High,2008,2.540793056
High,2009,2.460160906
High,2010,2.37113332
High,2011,2.344278354
High,2012,2.391054828
High,2013,2.504691051
High,2014,2.678422682
High,2015,2.905145834
Very High,1986,1.933278183
Very High,1987,2.100552312
Very High,1988,2.258198266
Very High,1989,2.405859997
Very High,1990,2.543280046
Very High,1991,2.670384745
Very High,1992,2.783475808
Very High,1993,2.868671732
Very High,1994,2.924709312
Very High,1995,2.954279401
Very High,1996,2.960021274
Very High,1997,2.944449458
Very High,1998,2.915102418
Very High,1999,2.893735555
Very High,2000,2.884415712
Very High,2001,2.885811559
Very High,2002,2.896704683
Very High,2003,2.915951532
Very High,2004,2.935092542
Very High,2005,2.925234266
Very High,2006,2.882537073
Very High,2007,2.810666237
Very High,2008,2.712890141
Very High,2009,2.59204791
Very High,2010,2.46646784
Very High,2011,2.39879497
Very High,2012,2.398838625
Very High,2013,2.460401296
Very High,2014,2.577579799
Very High,2015,2.744430138